06:17:48.769754 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 403
06:17:48.769866 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 310
06:17:48.769925 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 170
06:17:48.769967 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 148
06:17:48.770026 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 148
06:17:48.770025 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 34
06:17:48.770083 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 34
06:17:48.770136 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 170
06:17:48.770199 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 200
06:17:48.770218 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 332
06:17:48.770260 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 228
06:17:48.770271 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 34
06:17:48.770308 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 34
06:17:48.770327 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 120
06:17:48.770398 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 214
06:17:48.770419 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 843
06:17:48.770442 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 156
06:17:48.770498 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 120
06:17:48.770498 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 323
06:17:48.770549 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 34
06:17:48.770581 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 221
06:17:48.770640 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 786
06:17:48.770670 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 161
06:17:48.770711 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 176
06:17:48.770739 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 156
06:17:48.770790 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 369
06:17:48.770818 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 199
06:17:48.770869 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 220
06:17:48.770885 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 177
06:17:48.770947 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 375
06:17:48.770957 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 177
06:17:48.771014 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 149
06:17:48.771022 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 177
06:17:48.771096 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 155
06:17:48.771109 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 335
06:17:48.771147 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 147
06:17:48.771151 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 34
06:17:48.771186 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 34
06:17:48.771242 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 150
06:17:48.771275 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 482
06:17:48.771295 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 191
06:17:48.771346 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 114
06:17:48.771364 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 77
06:17:48.771427 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 446
06:17:48.771436 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 199
06:17:48.771496 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 126
06:17:48.771502 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 132
06:17:48.771538 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 34
06:17:48.771577 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 155
06:17:48.771628 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 384
06:17:48.771640 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 147
06:17:48.771694 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 129
