11:40:52.759645 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 5979
11:40:52.760073 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 34
11:40:52.763514 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 3152
11:40:52.763656 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 34
11:40:52.764647 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 7474
11:40:52.764794 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 34
11:40:52.764947 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 61
11:40:52.765253 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 652
11:40:52.765373 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 34
11:40:52.765507 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 61
11:40:52.765746 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 566
11:40:52.765855 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 34
11:40:52.765983 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 61
11:40:52.766941 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 1302
11:40:52.767070 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 34
11:40:52.767123 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 202
11:40:52.767201 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 61
11:40:52.767303 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 34
11:40:52.767377 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 34
11:40:52.767506 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 61
11:40:52.767602 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 34
11:40:52.830370 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 65
11:40:52.830563 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 34
11:40:52.830653 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 61
11:40:52.830695 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 34
11:40:52.830702 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 66
11:40:52.830742 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 34
11:40:52.830783 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 69
11:40:52.830789 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 61
11:40:52.830824 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 34
11:40:52.830831 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 34
11:40:52.830886 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 61
11:40:52.830926 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 34
11:40:52.830958 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 50
11:40:52.831008 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 34
11:40:52.831055 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 61
11:40:52.831092 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 34
11:40:52.831094 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 60
11:40:52.831135 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 34
11:40:52.831173 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 61
11:40:52.831210 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 34
11:40:52.831517 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 49
11:40:52.831654 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 34
11:40:52.831712 IP 10.253.0.2.47525 > 10.253.0.1.34021: UDP, length 61
11:40:52.831753 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 34
11:40:52.831811 IP 10.253.0.1.34021 > 10.253.0.2.47525: UDP, length 59
