21:21:28.355566 IP 10.253.0.2.57978 > 10.253.0.1.39294: UDP, length 6427
21:21:28.356232 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 34
21:21:28.367099 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 4112
21:21:28.367535 IP 10.253.0.2.57978 > 10.253.0.1.39294: UDP, length 34
21:21:28.368320 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 7260
21:21:28.368625 IP 10.253.0.2.57978 > 10.253.0.1.39294: UDP, length 34
21:21:28.368889 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 2338
21:21:28.369156 IP 10.253.0.2.57978 > 10.253.0.1.39294: UDP, length 34
21:21:28.369284 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 71
21:21:28.370135 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 176
21:21:28.370429 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 202
21:21:28.370716 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 176
21:21:28.370877 IP 10.253.0.2.57978 > 10.253.0.1.39294: UDP, length 100
21:21:28.371056 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 36
21:21:28.372879 IP 10.253.0.2.57978 > 10.253.0.1.39294: UDP, length 152
21:21:28.373178 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 36
21:21:28.457488 IP 10.253.0.2.57978 > 10.253.0.1.39294: UDP, length 65
21:21:28.457677 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 36
21:21:28.457812 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 61
21:21:28.457877 IP 10.253.0.2.57978 > 10.253.0.1.39294: UDP, length 34
21:21:28.458108 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 90
21:21:28.458241 IP 10.253.0.2.57978 > 10.253.0.1.39294: UDP, length 34
21:21:28.458345 IP 10.253.0.2.57978 > 10.253.0.1.39294: UDP, length 61
21:21:28.458429 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 34
21:21:28.459067 IP 10.253.0.2.57978 > 10.253.0.1.39294: UDP, length 50
21:21:28.459177 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 34
21:21:28.459324 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 61
21:21:28.459382 IP 10.253.0.2.57978 > 10.253.0.1.39294: UDP, length 34
21:21:28.461533 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 60
21:21:28.461673 IP 10.253.0.2.57978 > 10.253.0.1.39294: UDP, length 34
21:21:28.461812 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 49
21:21:28.462038 IP 10.253.0.2.57978 > 10.253.0.1.39294: UDP, length 61
21:21:28.462125 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 34
21:21:28.462203 IP 10.253.0.2.57978 > 10.253.0.1.39294: UDP, length 34
21:21:28.462259 IP 10.253.0.2.57978 > 10.253.0.1.39294: UDP, length 61
21:21:28.462363 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 34
21:21:28.462484 IP 10.253.0.1.39294 > 10.253.0.2.57978: UDP, length 59
21:21:28.462575 IP 10.253.0.2.57978 > 10.253.0.1.39294: UDP, length 38
