03:56:03.604180 IP 10.253.0.2.47607 > 10.253.0.1.46786: UDP, length 5403
03:56:03.604595 IP 10.253.0.1.46786 > 10.253.0.2.47607: UDP, length 34
03:56:03.606818 IP 10.253.0.1.46786 > 10.253.0.2.47607: UDP, length 1952
03:56:03.607037 IP 10.253.0.2.47607 > 10.253.0.1.46786: UDP, length 34
03:56:03.610210 IP 10.253.0.1.46786 > 10.253.0.2.47607: UDP, length 9402
03:56:03.610451 IP 10.253.0.2.47607 > 10.253.0.1.46786: UDP, length 36
03:56:03.610624 IP 10.253.0.2.47607 > 10.253.0.1.46786: UDP, length 61
03:56:03.610791 IP 10.253.0.1.46786 > 10.253.0.2.47607: UDP, length 678
03:56:03.610909 IP 10.253.0.2.47607 > 10.253.0.1.46786: UDP, length 34
03:56:03.611036 IP 10.253.0.2.47607 > 10.253.0.1.46786: UDP, length 61
03:56:03.611120 IP 10.253.0.1.46786 > 10.253.0.2.47607: UDP, length 34
03:56:03.694172 IP 10.253.0.2.47607 > 10.253.0.1.46786: UDP, length 65
03:56:03.694519 IP 10.253.0.1.46786 > 10.253.0.2.47607: UDP, length 34
03:56:03.694924 IP 10.253.0.1.46786 > 10.253.0.2.47607: UDP, length 61
03:56:03.695050 IP 10.253.0.2.47607 > 10.253.0.1.46786: UDP, length 34
03:56:03.695287 IP 10.253.0.1.46786 > 10.253.0.2.47607: UDP, length 90
03:56:03.695387 IP 10.253.0.2.47607 > 10.253.0.1.46786: UDP, length 34
03:56:03.695522 IP 10.253.0.2.47607 > 10.253.0.1.46786: UDP, length 61
03:56:03.695588 IP 10.253.0.1.46786 > 10.253.0.2.47607: UDP, length 34
03:56:03.695719 IP 10.253.0.2.47607 > 10.253.0.1.46786: UDP, length 50
03:56:03.695775 IP 10.253.0.1.46786 > 10.253.0.2.47607: UDP, length 34
03:56:03.695871 IP 10.253.0.1.46786 > 10.253.0.2.47607: UDP, length 61
03:56:03.695971 IP 10.253.0.1.46786 > 10.253.0.2.47607: UDP, length 51
03:56:03.696030 IP 10.253.0.1.46786 > 10.253.0.2.47607: UDP, length 54
03:56:03.696119 IP 10.253.0.2.47607 > 10.253.0.1.46786: UDP, length 34
03:56:03.696217 IP 10.253.0.2.47607 > 10.253.0.1.46786: UDP, length 91
03:56:03.696303 IP 10.253.0.1.46786 > 10.253.0.2.47607: UDP, length 34
03:56:03.696757 IP 10.253.0.1.46786 > 10.253.0.2.47607: UDP, length 49
03:56:03.696821 IP 10.253.0.2.47607 > 10.253.0.1.46786: UDP, length 34
03:56:03.696876 IP 10.253.0.2.47607 > 10.253.0.1.46786: UDP, length 61
03:56:03.696923 IP 10.253.0.1.46786 > 10.253.0.2.47607: UDP, length 34
03:56:03.697026 IP 10.253.0.1.46786 > 10.253.0.2.47607: UDP, length 59
