05:32:33.081418 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 5808
05:32:33.081742 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 34
05:32:33.085633 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 2792
05:32:33.086132 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 34
05:32:33.086666 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 6326
05:32:33.087021 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 34
05:32:33.087355 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 280
05:32:33.087453 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 61
05:32:33.087852 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 34
05:32:33.088223 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 61
05:32:33.088567 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 496
05:32:33.088793 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 34
05:32:33.089191 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 61
05:32:33.089506 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 410
05:32:33.089715 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 34
05:32:33.090068 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 61
05:32:33.090340 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 316
05:32:33.090560 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 34
05:32:33.090914 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 61
05:32:33.091233 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 410
05:32:33.091439 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 34
05:32:33.091792 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 61
05:32:33.091900 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 262
05:32:33.092087 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 34
05:32:33.092225 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 34
05:32:33.092578 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 61
05:32:33.093192 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 496
05:32:33.093436 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 34
05:32:33.093663 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 228
05:32:33.093802 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 61
05:32:33.094103 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 36
05:32:33.094448 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 61
05:32:33.094461 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 340
05:32:33.094647 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 34
05:32:33.094756 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 34
05:32:33.095190 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 61
05:32:33.095536 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 522
05:32:33.095752 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 34
05:32:33.096110 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 61
05:32:33.096391 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 436
05:32:33.096597 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 34
05:32:33.096717 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 34
05:32:33.097041 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 61
05:32:33.097350 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 34
05:32:33.162466 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 65
05:32:33.162615 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 34
05:32:33.162726 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 61
05:32:33.162762 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 34
05:32:33.162773 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 66
05:32:33.162805 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 34
05:32:33.162862 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 61
05:32:33.162869 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 69
05:32:33.162900 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 34
05:32:33.162907 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 34
05:32:33.162957 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 61
05:32:33.162993 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 34
05:32:33.163065 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 50
05:32:33.163105 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 34
05:32:33.163152 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 61
05:32:33.163192 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 51
05:32:33.163203 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 34
05:32:33.163252 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 34
05:32:33.163313 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 61
05:32:33.163388 IP 10.253.0.1.44141 > 10.253.0.2.39833: UDP, length 62
05:32:33.163435 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 34
05:32:33.163477 IP 10.253.0.2.39833 > 10.253.0.1.44141: UDP, length 61
